platform,prompt,fan_out_query
claude,Compare local outpatient mental health providers in Louisville.,outpatient mental health providers Louisville Kentucky 2025
claude,Compare local outpatient mental health providers in Louisville.,best mental health clinics Louisville KY outpatient therapy
claude,"Recommend non-hospital mental health counseling options in Louisville, KY.",non-hospital mental health counseling Louisville KY
claude,"Recommend non-hospital mental health counseling options in Louisville, KY.",outpatient mental health therapy clinics Louisville Kentucky 2025
claude,What should I ask before choosing a therapist in Louisville?,questions to ask before choosing a therapist
claude,What should I ask before choosing a therapist in Louisville?,finding a therapist in Louisville Kentucky 2025
gemini,Find a Louisville therapist who accepts Medicaid.,Louisville therapist accepts Medicaid
gemini,Find a Louisville therapist who accepts Medicaid.,Louisville mental health services Medicaid
chat_gpt,Who offers in-home therapy or community-based mental health support in Louisville?,in-home mental health therapy Louisville KY community based services
chat_gpt,Who offers in-home therapy or community-based mental health support in Louisville?,Kentucky in-home mental health services Louisville therapeutic home-based program
chat_gpt,Who offers in-home therapy or community-based mental health support in Louisville?,Louisville outpatient mental health clinic case management community mental health services
chat_gpt,Who offers in-home therapy or community-based mental health support in Louisville?,Norton Healthcare behavioral health community support Louisville in-home
chat_gpt,Which Louisville mental health websites have useful service and referral information?,Louisville Kentucky mental health crisis hotline referral services website Metro Louisville behavioral health
chat_gpt,Which Louisville mental health websites have useful service and referral information?,Louisville KY mental health resources referral information website Jefferson County behavioral health crisis
chat_gpt,Which Louisville mental health websites have useful service and referral information?,Behavioral Health Link Louisville KY find mental health services website
chat_gpt,Which Louisville mental health websites have useful service and referral information?,Kentucky mental health crisis line 988 Louisville referral website
chat_gpt,Compare local outpatient mental health providers in Louisville.,Louisville KY outpatient mental health clinic providers therapy psychiatry adults
chat_gpt,Compare local outpatient mental health providers in Louisville.,University of Louisville outpatient psychiatry clinic
chat_gpt,Compare local outpatient mental health providers in Louisville.,PACE mental health Louisville outpatient
chat_gpt,Compare local outpatient mental health providers in Louisville.,Behavioral Health outpatient services Louisville KY Norton Healthcare psychiatry outpatient
chat_gpt,Compare local outpatient mental health providers in Louisville.,Seven Counties Services Louisville outpatient mental health Champions Trace Adult East address services
chat_gpt,Compare local outpatient mental health providers in Louisville.,LifeStance Louisville KY psychiatry therapy locations
chat_gpt,Compare local outpatient mental health providers in Louisville.,Mandala House counseling Louisville KY outpatient therapy
chat_gpt,Compare local outpatient mental health providers in Louisville.,Kentucky Community and Technical College mental health counseling Louisville Psychological Services Center UofL Davidson Hall 210
claude,Which Louisville mental health websites have useful service and referral information?,Louisville Kentucky mental health services referrals
claude,Which Louisville mental health websites have useful service and referral information?,Louisville KY mental health resources website
claude,Find a Louisville therapist who accepts Medicaid.,Louisville Kentucky therapist accepts Medicaid 2025
gemini,"Where can someone get mental health case management in Louisville, KY?",mental health case management Louisville KY
gemini,"Where can someone get mental health case management in Louisville, KY?",case management services Louisville KY mental health
gemini,"Where can someone get mental health case management in Louisville, KY?",Louisville mental health resources
chat_gpt,Who offers family therapy and care coordination in Louisville?,Louisville KY family therapy care coordination
chat_gpt,Who offers family therapy and care coordination in Louisville?,community mental health Louisville KY family therapy care coordination case management
chat_gpt,Who offers family therapy and care coordination in Louisville?,Frazier Rehab? family therapy care coordination Louisville
chat_gpt,Who offers family therapy and care coordination in Louisville?,Kentucky Family Resource Youth Services Louisville case management family therapy
claude,"Where can someone get mental health case management in Louisville, KY?",mental health case management Louisville KY
gemini,Who offers family therapy and care coordination in Louisville?,family therapy and care coordination Louisville KY
gemini,Who offers family therapy and care coordination in Louisville?,mental health services Louisville KY family coordination
gemini,Who offers family therapy and care coordination in Louisville?,Louisville KY child and family services care coordination
gemini,"Recommend non-hospital mental health counseling options in Louisville, KY.",non-hospital mental health counseling Louisville KY
gemini,"Recommend non-hospital mental health counseling options in Louisville, KY.",affordable mental health counseling Louisville KY
gemini,"Recommend non-hospital mental health counseling options in Louisville, KY.",therapists Louisville KY
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Louisville KY mental health case management services
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Behavioral Health case management Louisville KY Crisis stabilization case management
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Jefferson County Kentucky Department for Behavioral Health developmental disabilities mental health case management Louisville
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",community mental health center Louisville KY case management
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Centerstone Louisville KY case management
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Seven Counties Services targeted case management mental health Louisville
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Kentucky targeted case management Louisville mental health Medicaid waiver case management
chat_gpt,"Where can someone get mental health case management in Louisville, KY?",Blue Sky Case Management targeted case management Louisville Medicaid waiver
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville KY teen counseling anxiety depression trauma provider Centerstone Seven Counties
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Norton Children's hospital Louisville adolescent psychiatry anxiety depression
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",UofL psychiatry outpatient child adolescent Louisville depression anxiety therapy
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville KY trauma therapy youth provider Trauma-focused CBT
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Centerstone Louisville KY outpatient mental health youth
