sourceId,parentId,parentTitle,menuOrder,status,title,slug,path,sourceUrl,template,date,modified,seoTitle,metaDescription,canonical,excerptText,contentWordCount
4,0,,0,publish,"Mental Health Clinic in Louisville, KY",home,/,http://100.70.222.25:8092/,,2026-06-28T17:44:41,2026-06-29T18:21:06,,,,"Mental Health Clinic in Louisville, KY Counseling, EMDR, family therapy, case management, and community support in Louisville with clear next steps for getting started. How to start care Reach out with a brief description of what is happening. The office can help sort fit, availability, insurance, and the most practical next step. 1 Reach out [...]",384
6,0,,0,publish,"Teen Therapy in Louisville, KY",adolescent-counseling,/adolescent-counseling/,http://100.70.222.25:8092/adolescent-counseling/,,2026-06-28T17:44:43,2026-06-29T18:21:06,,,,"Teen Therapy in Louisville, KY Teen therapy for mood symptoms, trauma, identity stress, school pressure, social strain, and family conflict. What To Expect In Teen Counseling Start by describing what has changed for your teen, what school or home stress looks like, and whether individual, family, or child-focused support seems closest to the need. Home/Mental [...]",368
7,0,,0,publish,"Adult Counseling in Louisville, KY",adult-counseling,/adult-counseling/,http://100.70.222.25:8092/adult-counseling/,,2026-06-28T17:44:44,2026-06-29T18:21:06,,,,"Adult Counseling in Louisville, KY Adult counseling for adults dealing with stress, anxiety, depression, grief, burnout, relationship strain, trauma, or major life changes. What To Expect In Adult Counseling You can begin by describing what feels hardest to manage, what kind of appointment is realistic, and whether office-based or telehealth care would fit. Home/Mental Health [...]",376
8,0,,0,publish,"Anxiety and Depression Therapy in Louisville, KY",anxiety-depression-therapy,/anxiety-depression-therapy/,http://100.70.222.25:8092/anxiety-depression-therapy/,,2026-06-28T17:44:45,2026-06-29T18:21:06,,,,"Anxiety and Depression Therapy in Louisville, KY Anxiety and depression therapy for worry, panic, sadness, low motivation, burnout, and emotional overwhelm. What To Expect In Anxiety And Depression Therapy Start by naming the symptoms, routines, relationships, or responsibilities that feel hardest to carry. The office can help route the request to an appropriate therapy starting [...]",417
9,0,,0,publish,Mental Health Articles from Louisville Mental Health Group,articles,/articles/,http://100.70.222.25:8092/articles/,,2026-06-28T17:44:46,2026-06-29T18:21:06,,,,"Mental Health Articles from Louisville Mental Health Group Mental health articles from LMHG about therapy, counseling, family support, care settings, case management, and practical next steps. Home/Mental Health Articles from Louisville Mental Health Group Use these articles to understand common care questions, then move to a service page or contact path when you are ready [...]",302
15,0,,0,publish,"Attachment Therapy in Louisville, KY",attachment-therapy,/attachment-therapy/,http://100.70.222.25:8092/attachment-therapy/,,2026-06-28T17:44:52,2026-06-29T18:21:07,,,,"Attachment Therapy in Louisville, KY Attachment therapy for families working on trust, caregiver connection, emotional safety, and parent-child relationship repair. What To Expect In Attachment Therapy Start with the relationship pattern that feels strained, the child or caregiver needs involved, and whether family therapy or child counseling should be part of the plan. Home/Mental Health [...]",310
16,0,,0,publish,"Mental Health Services in Bullitt County, KY",bullitt-county-ky,/bullitt-county-ky/,http://100.70.222.25:8092/bullitt-county-ky/,,2026-06-28T17:44:53,2026-06-29T18:21:07,,,,"Mental Health Services in Bullitt County, KY Mental health services for Bullitt County clients through LMHG counseling, therapy, telehealth, case management, and selected community-based care. Home/Mental Health Services Near Louisville, KY/Mental Health Services in Bullitt County, KY Families from Shepherdsville, Mt. Washington, and nearby Bullitt County communities may come to LMHG for counseling, trauma-focused care, [...]",211
17,0,,0,publish,"Mental Health Careers in Louisville, KY",careers,/careers/,http://100.70.222.25:8092/careers/,,2026-06-28T17:44:54,2026-06-29T18:21:07,,,,"Mental Health Careers in Louisville, KY Mental health careers in Louisville at LMHG for therapists, counselors, case managers, community support staff, and care team roles. Home/Mental Health Careers in Louisville, KY Current Areas Of Interest If your background overlaps with one of these areas, we would be glad to review your information. Email your resume [...]",171
18,0,,0,publish,"Targeted Case Management in Louisville, KY",case-management,/case-management/,http://100.70.222.25:8092/case-management/,,2026-06-28T17:44:55,2026-06-29T18:21:07,,,,"Targeted Case Management in Louisville, KY Targeted case management for Medicaid clients who need care coordination, referrals, resources, appointments, and follow-through. What To Expect In Case Management If case management is close but not the exact fit, community support or in-home services may be better aligned with what is happening day to day. Home/Mental Health [...]",429
19,0,,0,publish,"Child Behavioral Therapy in Louisville, KY",child-behavioral-intervention,/child-behavioral-intervention/,http://100.70.222.25:8092/child-behavioral-intervention/,,2026-06-28T17:44:56,2026-06-29T18:21:07,,,,"Child Behavioral Therapy in Louisville, KY Child behavioral therapy for behavior concerns, emotional regulation, school stress, trauma, and family routines. What To Expect In Child Behavioral Therapy Start with what the behavior looks like at home, school, or during transitions, and what caregivers have already tried. That helps the office route the request toward the [...]",376
