path,sourceWordPressId,sourceTitle,importStatus,userReviewStatus,metadataStatus,pageTypeSchemaStatus,relationshipStatus,designStatus,implementationStatus,templateFamily,pageType,schemaType,titleTag,metaDescription,primaryKeyword,secondaryKeywords,phraseHeadings,positioningFrame,copyAngle,examplesToInclude,languageToAvoid,primaryParent,relatedChildren,gutenbergBasicsPlan,userImplementationInstruction,dirtyNotes,proposedPageTitle,proposedTitleTag,serviceMenuRole,serviceMenuDepth,serviceMenuParent,serviceMenuLabel,serviceMenuChildren
/,4,"Mental Health Clinic in Louisville, KY",matched-public-and-lmhg,needs-homepage-title-decision,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,home,Homepage,MedicalClinic,"Mental Health Clinic in Louisville, KY | LMHG","Louisville Mental Health Group is a mental health clinic in Louisville, KY offering therapy, counseling, case management, community support, and in-home care.",mental health clinic louisville ky,mental health services louisville ky; therapy louisville ky,"A local mental health practice in Louisville; Therapy, case management, and community support; Care in the office, at home, school, or community",Local practice / broad mental health services entity,"Use clinic language for entity/title alignment while keeping the page voice focused on a local practice with multiple care paths, not a hospital system.","Provider matching; therapy plus TCM/CSA; office, telehealth, home, school, community settings",hospital-style clinic; treatment facility; behavioral health programming; healing journey,,,"Core block homepage: hero Group with Heading/Paragraph/Buttons, process Columns/List, service-category card Grid, closing CTA Group. No imported Astro/Starwind code; translate desired sections into Gutenberg patterns one at a time.","Current sources identify homepage as Mental Health Clinic in Louisville, KY. User suspects Mental Health Services in Louisville, KY may belong to homepage; needs explicit homepage title decision later.",,,,,,,,
/adolescent-counseling/,6,"Teen Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Audience/concern page,MedicalWebPage; FAQPage,"Teen Therapy and Adolescent Counseling in Louisville, KY | LMHG","Teen therapy in Louisville for mood changes, anxiety, trauma, school pressure, identity stress, family conflict, and social strain.",teen therapy louisville ky,adolescent counseling louisville ky; adolescent therapy louisville ky,"Support for teens and families; What teen therapy can help sort through; Privacy, parents, and practical next steps",Teen therapy,"Balance teen privacy with caregiver trust. Use normal language around school, friends, mood, identity, and family conflict.",School avoidance; shutdown; conflict at home; anxiety; trauma; parent questions about what therapists can share,adolescent population; presenting concerns; compliance,/child-counseling/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/child-counseling/,Adolescent Counseling,
/adult-counseling/,7,"Adult Counseling in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Service,MedicalWebPage; FAQPage,"Adult Counseling in Louisville, KY | LMHG","Adult counseling in Louisville for stress, anxiety, depression, grief, trauma, burnout, relationship strain, and major life transitions.",adult counseling louisville ky,adult therapy louisville ky; counseling for adults louisville ky,Support for adults who feel stuck or stretched thin; What adult counseling can look like; Starting without perfect words,Adult counseling service,Speak to working adults who need support but may not know whether therapy is the right fit.,Burnout; grief; parenting pressure; relationship stress; practical first appointment language,optimize functioning; maladaptive coping; treatment compliance,/individual-counseling/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/individual-counseling/,Adult Counseling,
/anxiety-depression-therapy/,8,"Anxiety and Depression Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Concern page,MedicalWebPage; FAQPage,"Anxiety and Depression Therapy in Louisville, KY | LMHG","Therapy for anxiety and depression in Louisville for worry, panic, low mood, burnout, irritability, avoidance, and emotional overwhelm.",anxiety and depression therapy louisville ky,anxiety therapy louisville ky; depression therapy louisville ky,When worry or low mood starts taking over; Anxiety and depression can show up together; Support beyond coping alone,Condition/concern therapy,Start with lived symptoms and daily-life impact. Avoid making the page read like a diagnostic checklist.,Sleep changes; avoidance; low motivation; irritability; work/school/family strain,major depressive disorder criteria; clinical presentation; pathology,/individual-counseling/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/individual-counseling/,Anxiety and Depression Therapy,
/articles/,9,Mental Health Articles from Louisville Mental Health Group,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article hub,Article,Mental Health Articles from Louisville Mental Health Group,"Mental health articles from LMHG about therapy, counseling, family support, care settings, case management, and practical next steps.",mental health articles louisville ky,therapy resources louisville ky; counseling articles louisville ky,"Plain-language mental health articles; Therapy, family support, and care settings; Practical answers before reaching out",Educational support,"Make the blog an educational support surface, not a keyword landfill.",Therapy expectations; family therapy comparisons; case management vs therapy; Medicaid questions,medical library tone; diagnosis articles as sales pages; national generic content,/,/articles/family-therapy-vs-individual-therapy/; /articles/guide-to-individual-therapy/; /articles/how-to-talk-to-your-loved-ones-about-going-to-therapy/; /articles/top-5-signs-its-time-to-seek-therapy/; /articles/what-to-expect-when-starting-therapy/,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
/articles/family-therapy-vs-individual-therapy/,10,Family Therapy vs. Individual Therapy | Which Fits?,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article,Article,Family Therapy vs. Individual Therapy | Which Fits?,"Compare family therapy and individual therapy, including when concerns are personal, relational, child-focused, or connected to both.",family therapy vs individual therapy,family counseling vs individual counseling; individual therapy or family therapy,Start with where the problem shows up; When individual therapy fits; When family therapy fits,Comparison article,"Use conversational examples and a comparison table. Keep it educational, not promotional.",Internal symptoms; conflict between people; child/teen concerns; both may help,modality taxonomy; clinical decision tree tone; guaranteed recommendation,/articles/,,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
/articles/guide-to-individual-therapy/,11,Guide to Individual Therapy | What to Expect,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article,Article,Guide to Individual Therapy | What to Expect,"A plain-language guide to individual therapy, one-on-one counseling, coping skills, provider fit, and choosing support that fits your needs.",guide to individual therapy,what is individual therapy; individual counseling guide,What individual therapy is; What usually happens in sessions; How to choose a good fit,Guide article,Use examples and calm first-person-adjacent language. Avoid textbook explanation.,First session; coping tools; stress/mood/trauma; provider fit; internal links,psychotherapy overview as encyclopedia; modality list without examples,/articles/,,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
/articles/how-to-talk-to-your-loved-ones-about-going-to-therapy/,12,How to Talk to Someone About Therapy,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article,Article,How to Talk to Someone About Therapy | LMHG,"How to talk to someone about therapy with calm timing, clear language, boundaries, and support that does not feel pressured.",how to talk to someone about therapy,how to tell family you are going to therapy; talking about counseling,"Know why you are starting; Choose a calmer moment; Use direct, non-blaming language",Conversation guide,"Conversational, example-heavy, and emotionally practical.",Scripts to try; partner/parent/friend reactions; boundaries; what not to say,convince them; stigma lecture; overly clinical family psychoeducation,/articles/,,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
/articles/top-5-signs-its-time-to-seek-therapy/,13,When to Seek Therapy | 5 Signs Support May Help,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article,Article,When to Seek Therapy | 5 Signs Support May Help,"Therapy may help when emotional strain, relationships, coping, daily functioning, or major life stress begins affecting how you live.",when to seek therapy,signs you need therapy; when to start counseling,You do not have to wait for a crisis; Daily life feels harder to maintain; A major change still affects you,Decision support article,Keep the list scannable and non-alarming. Mention case management when practical barriers are part of the picture.,Anxiety; sadness; relationship patterns; coping; daily functioning; trauma/change,red flag diagnosis; crisis-only framing; fear-based CTA,/articles/,,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
/articles/what-to-expect-when-starting-therapy/,14,What to Expect When Starting Therapy,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,article,Article,Article,What to Expect When Starting Therapy | LMHG,A plain-language overview of what usually happens when someone reaches out for therapy or counseling for the first time.,what to expect when starting therapy,first therapy appointment; starting counseling,You do not need perfect words; What first contact usually covers; What happens after that,First-step article,"Reduce friction. Explain that LMHG can route to therapy, TCM, CSA, EMDR, family support, or care settings.",Phone/form; insurance; concerns; matching; service fit; first appointment expectations,intake process as bureaucracy; clinical assessment-heavy intro,/articles/,,"Article planning surface: decide whether each article route stays a WordPress Page or becomes a Post before implementation; use clean headings, body copy, and optional FAQ only when visible.",,,,,,,,,
