priority,page,query_evidence,current_gap,launch_copy_action,faq_action,schema_or_technical_action
1,/case-management/,"LMHG #1 desktop for mental health case management Louisville KY; supplemental Medicaid case-management SERP shows LMHG around #7 behind pages with explicit Medicaid/case-management language.","Strong page but not explicit enough about Medicaid, care coordination examples, and difference from therapy.","Expand the page with definition, who it helps, Medicaid verification, referrals, appointments, benefits, transportation, school/family coordination, and community resources.","Add FAQs for Medicaid case management, what case managers help with, case management vs therapy, and links to community/in-home services.","Keep this as canonical owner; validate FAQPage schema for visible FAQs."
2,/community-based-services/,"AI Mode and SERP results cite government/resource/community providers for community-based care; LMHG visible organically but not clearly as canonical service owner.","Short page around 700 source-text characters; does not fully define community-based mental health care.","Add answer-first definition and examples: case management, community support, in-home help, school coordination, family support, resources, and follow-through.","Add FAQs for what community-based mental health services are, who provides them in Louisville, and how they differ from office therapy.","Validate FAQPage schema and service/provider JSON-LD."
3,/therapy-in-your-home/,"Supplemental SERP for in home therapy Louisville KY is polluted by physical therapy and home health results; LMHG baseline rank weak on mobile.","Page says in-home therapy but not enough mental-health disambiguation.","Retitle to In-Home Mental Health Therapy in Louisville, KY and add copy distinguishing mental health therapy from physical therapy/home health.","Add FAQs for availability, fit, difference from physical therapy, and connection to case management/community support.","Clean meta description and validate FAQPage schema."
4,/child-counseling/,"Supplemental child therapist Louisville KY SERP favors pages with child therapist, children/teens, play therapy, age ranges, and caregiver involvement.","H1/title is only Child Therapy; page is thin and underoptimized for child therapist Louisville KY.","Retitle to Child Therapy in Louisville, KY and expand with age range, child counseling, behavior, school stress, trauma, caregiver involvement, and play therapy paths.","Add GBP-derived four-year-old FAQ plus caregiver involvement, play therapy, and choosing child vs family/parenting support FAQs.","Clean title/meta; validate FAQPage schema."
5,/individual-counseling/,"High-volume terms therapy/therapist/counseling Louisville KY are weak; individual therapy ranks around #20.","Page is thin and does not fully own broad therapy/counseling intent.","Add broader answer block for therapy, counseling, and therapist intent; include adults/teens, conditions, setting, insurance, and next steps.","Add FAQs for therapy vs counseling, choosing a therapist, anxiety/depression/trauma, telehealth/in-person, and fit.","Clean meta description; strengthen internal links from homepage/services."
6,/anxiety-depression-therapy/,"Absent for anxiety therapy depth-100; depression therapy weak and absent mobile.","Copy is short and not explicit enough for anxiety/depression symptoms and teen/adult use cases.","Add condition-specific copy for worry, panic, sadness, low motivation, burnout, irritability, numbness, sleep changes, work/school/family stress.","Add FAQs for when anxiety/depression therapy fits, teens, trauma/EMDR routing, and office/telehealth options.","Clean metadata and link from individual counseling and teen therapy."
7,/family-therapy/,"AI prompts for family therapy plus care coordination did not mention LMHG.","Page is around 650 source-text characters and does not connect family therapy to care coordination.","Add copy about communication, routines, parenting stress, trust, attachment, conflict, grief, trauma impact, and transitions.","Add FAQs for family vs individual therapy, care coordination, parenting stress, attachment, and family conflict.","Validate FAQPage schema; link to community-based services and case management."
8,/adolescent-counseling/,"AI prompt for teens with anxiety, depression, or trauma did not mention LMHG.","Good start but not direct enough for teen anxiety/depression/trauma prompt.","Add answer block naming teen anxiety, depression, trauma, school stress, social pressure, family conflict, and emotional shutdown.","Add FAQs for teen anxiety/depression/trauma, parent involvement, teen vs family therapy, and school/community support.","Link from child therapy, anxiety/depression, trauma therapy, and family therapy."
9,/, "Head terms therapy/therapist/counseling have highest Louisville volume; homepage ranks for some broad terms but is weak and no homepage FAQ sampled.","Homepage has no visible FAQ and limited Medicaid/payment answer language.","Add above-fold answer block for therapy, counseling, EMDR, family therapy, case management, community support, in-home care, adults, teens, children, couples, families, insurance, and settings.","Add FAQs for therapy in Louisville, choosing a service, Medicaid/insurance, and care outside the office.","Ensure homepage FAQs either get FAQPage schema or are intentionally excluded if not visible."
10,/services/,"Broad service/head terms need a stronger service hub; current page has service breadth but generic excerpts.","Meta description is breadcrumb-polluted; service comparison can be clearer.","Add which-service-fits block and need-to-service table linking to canonical pages.","Add FAQs about choosing services, service settings, insurance, and what to ask before scheduling.","Clean meta description; strengthen internal links."
11,/insurance/,"Supplemental Medicaid therapist SERP favors directories and competitors with explicit Medicaid/insurance copy.","Page is useful but should answer Medicaid therapist query more directly.","Add direct answer: if searching for a Louisville therapist who accepts Medicaid, contact LMHG with plan details and service needs; coverage and availability must be verified.","Add FAQs for Medicaid therapy, coverage details to provide, service coverage differences, and current availability.","Link to /faq/cost/, /case-management/, /individual-counseling/, and /services/."
12,/faq/cost/,"Medicaid and insurance questions are high-intent and appear in LLM/SERP patterns.","FAQ is present but short.","Add more concrete coverage verification and plan-detail language; clarify commercial insurance, Medicaid, private pay if offered, and service-specific checks.","Add FAQs for coverage checks, Medicaid/service fit, cost before scheduling, and what details to provide.","Validate FAQPage schema."
13,/group-therapy/,"Group therapy is strong organically (#3 desktop/mobile) but current page is thin.","Strong ranking asset could be better defended.","Expand with structured support, guided discussion, skill practice, use alongside individual/family support, and how current groups are confirmed.","Add FAQs for group availability, individual vs group therapy, fit, and insurance/Medicaid verification.","Clean metadata and FAQ schema."
14,/locations/in-person/,"Local office page has strong address relevance and should support broad local therapy queries.","Good address content but should link harder to therapy/counseling/service pages.","Add office-setting copy for therapy at Bardstown Road, privacy, provider fit, and when office-based care is useful.","Add FAQs about office visits, services available at office, insurance, and what to bring.","Link to homepage, services, individual counseling, child therapy, and contact."
15,/faq/,"AI Mode asks for useful service and referral information but does not cite LMHG.","FAQ hub can become an extraction-friendly routing page.","Add a service/referral answer block explaining how to contact LMHG, what details to provide, and how requests are routed.","Add top-level FAQs for choosing a service, referrals, crisis boundary, insurance, and care settings.","Use MedicalWebPage or FAQPage according to visible Q&A; avoid FAQPage if only link hub."
16,/specialties/,"AI and SERP prompts often start with symptoms or needs rather than exact service names.","Specialties hub overlaps with services and is not yet a strong symptom/need finder.","Reorganize visible copy around anxiety/depression, trauma/EMDR, child/play, teen, parenting/family, court-involved, and care-coordination needs.","Add FAQs for choosing by concern, choosing a specialty vs core service, and when to contact the office.","Keep labels consistent with Core30 and link to canonical service owners."
17,/meet-the-team/,"Directories win because they expose provider and credential signals that AI/search systems can parse.","Provider/trust content is thin.","Add provider cards with name, credentials, role, population/service focus, and settings where confirmed.","Add FAQ about how provider fit is handled and what to ask before scheduling.","Avoid unsupported availability/specialty claims; use Person/Organization schema only when data is confirmed."
18,/reviews/,"GBP has 4.4 rating from 19 reviews, but review content must be handled carefully.","Trust page is thin and under-leveraged.","Add compliant review/trust explanation, how visitors can evaluate fit, and how to contact LMHG with concerns.","Add FAQ about where to find public reviews and how feedback is handled without exposing PHI.","Do not fabricate review text; only use approved quotes if compliant."
19,/feed/,"Current rendered feed exposes duplicate dated article posts plus default Hello world even though dated URLs 404.","Feed-discoverable duplicates can be crawled by search and AI systems.","Unpublish default post and remove duplicate dated article posts from feeds or redirect to canonical article pages.","No FAQ action.","Verify feed only exposes intended canonical content before launch."
